charges,Erin_charges,Count,Craig_charges,Craig_edit,2C_added
OBSTRUCTING OF ADMIN LAW RESISTING ARREST TRESPASSING,OBSTRUCTING OF ADMIN LAW RESISTING ARREST TRESPASSING,1,OBSTRUCTING OF ADMIN LAW RESISTING ARREST TRESPASSING,OBSTRUCTING OF ADMIN LAW RESISTING ARREST TRESPASSING,OBSTRUCTING OF ADMIN LAW RESISTING ARREST TRESPASSING
OBSTRUCTING OF ADMINISTRATION,OBSTRUCTING OF ADMINISTRATION,1,OBSTRUCTING OF ADMINISTRATION,OBSTRUCTING OF ADMINISTRATION,OBSTRUCTING OF ADMINISTRATION
OBSTRUCTING OF JUSTICE 2C:29-1A,OBSTRUCTING OF JUSTICE 2C:29-1A,1,OBSTRUCTING OF JUSTICE 2C:29-1A,OBSTRUCTING OF JUSTICE 2C:29-1A,OBSTRUCTING OF JUSTICE 2C:29-1A
OBSTRUCTING OF JUSTICE RESISTING ARREST DISORDERLY CONDUCT POSSESSION OF MARIJUANA UNDER 50 GRAMS,OBSTRUCTING OF JUSTICE RESISTING ARREST DISORDERLY CONDUCT POSSESSION OF MARIJUANA UNDER 50 GRAMS,1,OBSTRUCTING OF JUSTICE RESISTING ARREST DISORDERLY CONDUCT POSSESSION OF MARIJUANA UNDER 50 GRAMS,OBSTRUCTING OF JUSTICE RESISTING ARREST DISORDERLY CONDUCT POSSESSION OF MARIJUANA UNDER 50 GRAMS,OBSTRUCTING OF JUSTICE RESISTING ARREST DISORDERLY CONDUCT POSSESSION OF MARIJUANA UNDER 50 GRAMS
OBSTRUCTING POSS CDS POSS PARR FUGITIVE,OBSTRUCTING POSS CDS POSS PARR FUGITIVE,1,OBSTRUCTING POSS CDS POSS PARR FUGITIVE,OBSTRUCTING POSS CDS POSS PARR FUGITIVE,OBSTRUCTING POSS CDS POSS PARR FUGITIVE
OBSTRUCTING PUBLIC PASSAGE AND RESISTING ARREST,OBSTRUCTING PUBLIC PASSAGE AND RESISTING ARREST,1,OBSTRUCTING PUBLIC PASSAGE AND RESISTING ARREST,OBSTRUCTING PUBLIC PASSAGE AND RESISTING ARREST,OBSTRUCTING PUBLIC PASSAGE AND RESISTING ARREST
OBSTRUCTING RESISTING / WARRANT,OBSTRUCTING RESISTING / WARRANT,1,OBSTRUCTING RESISTING / WARRANT,OBSTRUCTING RESISTING / WARRANT,OBSTRUCTING RESISTING / WARRANT
OBSTRUCTING RESISTING ARREST FOR OTHER JUR,OBSTRUCTING RESISTING ARREST FOR OTHER JUR,1,OBSTRUCTING RESISTING ARREST FOR OTHER JUR,OBSTRUCTING RESISTING ARREST FOR OTHER JUR,OBSTRUCTING RESISTING ARREST FOR OTHER JUR
OBSTRUCTING RESISTING CDS,OBSTRUCTING RESISTING CDS,1,OBSTRUCTING RESISTING CDS,OBSTRUCTING RESISTING CDS,OBSTRUCTING RESISTING CDS
OBSTRUCTING RESISTING POSSESSION,OBSTRUCTING RESISTING POSSESSION,1,OBSTRUCTING RESISTING POSSESSION,OBSTRUCTING RESISTING POSSESSION,OBSTRUCTING RESISTING POSSESSION
OBSTRUCTING THE,OBSTRUCTING THE,1,OBSTRUCTING THE,OBSTRUCTING THE,OBSTRUCTING THE
OBSTRUCTING THE ADMIN,OBSTRUCTING THE ADMIN,1,OBSTRUCTING THE ADMIN,OBSTRUCTING THE ADMIN,OBSTRUCTING THE ADMIN
OBSTRUCTING THE ADMIN OF LAW - RESISTING - DISORDERLY CONDUCT,OBSTRUCTING THE ADMIN OF LAW - RESISTING - DISORDERLY CONDUCT,1,OBSTRUCTING THE ADMIN OF LAW - RESISTING - DISORDERLY CONDUCT,OBSTRUCTING THE ADMIN OF LAW - RESISTING - DISORDERLY CONDUCT,OBSTRUCTING THE ADMIN OF LAW - RESISTING - DISORDERLY CONDUCT
OBSTRUCTING THE ADMIN OF LAW RESISTING ARREST,OBSTRUCTING THE ADMIN OF LAW RESISTING ARREST,1,OBSTRUCTING THE ADMIN OF LAW RESISTING ARREST,OBSTRUCTING THE ADMIN OF LAW RESISTING ARREST,OBSTRUCTING THE ADMIN OF LAW RESISTING ARREST
OBSTRUCTING THE ADMIN. OF LAW RESISTING ARREST,OBSTRUCTING THE ADMIN. OF LAW RESISTING ARREST,1,OBSTRUCTING THE ADMIN. OF LAW RESISTING ARREST,OBSTRUCTING THE ADMIN. OF LAW RESISTING ARREST,OBSTRUCTING THE ADMIN. OF LAW RESISTING ARREST
OBSTRUCTING THE ADMINISTRATION ILLEGIBLE,OBSTRUCTING THE ADMINISTRATION ILLEGIBLE,1,OBSTRUCTING THE ADMINISTRATION ILLEGIBLE,OBSTRUCTING THE ADMINISTRATION ILLEGIBLE,OBSTRUCTING THE ADMINISTRATION ILLEGIBLE
OBSTRUCTING THE ADMINISTRATION OF LAW (2C:29-2A) AND RESISTING ARREST (2C:29-2),OBSTRUCTING THE ADMINISTRATION OF LAW (2C:29-2A) AND RESISTING ARREST (2C:29-2),1,OBSTRUCTING THE ADMINISTRATION OF LAW (2C:29-2A) AND RESISTING ARREST (2C:29-2),OBSTRUCTING THE ADMINISTRATION OF LAW (2C:29-2A) AND RESISTING ARREST (2C:29-2),OBSTRUCTING THE ADMINISTRATION OF LAW (2C:29-2A) AND RESISTING ARREST (2C:29-2)
OBSTRUCTING THE ADMINISTRATION OF LAW / IMPROPER BEHAVIOR,OBSTRUCTING THE ADMINISTRATION OF LAW / IMPROPER BEHAVIOR,1,OBSTRUCTING THE ADMINISTRATION OF LAW / IMPROPER BEHAVIOR,OBSTRUCTING THE ADMINISTRATION OF LAW / IMPROPER BEHAVIOR,OBSTRUCTING THE ADMINISTRATION OF LAW / IMPROPER BEHAVIOR
"OBSTRUCTING THE ADMINISTRATION OF LAW HINDERING APPREHENSION RESISTING ARREST WARRANT FROM ELK TOWNSHIP $10,000 SEATBELT TICKET","OBSTRUCTING THE ADMINISTRATION OF LAW HINDERING APPREHENSION RESISTING ARREST WARRANT FROM ELK TOWNSHIP $10,000 SEATBELT TICKET",1,"OBSTRUCTING THE ADMINISTRATION OF LAW HINDERING APPREHENSION RESISTING ARREST WARRANT FROM ELK TOWNSHIP $10,000 SEATBELT TICKET","OBSTRUCTING THE ADMINISTRATION OF LAW HINDERING APPREHENSION RESISTING ARREST WARRANT FROM ELK TOWNSHIP $10,000 SEATBELT TICKET","OBSTRUCTING THE ADMINISTRATION OF LAW HINDERING APPREHENSION RESISTING ARREST WARRANT FROM ELK TOWNSHIP $10,000 SEATBELT TICKET"
OBSTRUCTING THE ADMINISTRATION OF LAW RESISTING ARREST,OBSTRUCTING THE ADMINISTRATION OF LAW RESISTING ARREST,1,OBSTRUCTING THE ADMINISTRATION OF LAW RESISTING ARREST,OBSTRUCTING THE ADMINISTRATION OF LAW RESISTING ARREST,OBSTRUCTING THE ADMINISTRATION OF LAW RESISTING ARREST
OBSTRUCTING THE ADMINISTRATION OF LAW RESISTING ARREST POSSESSION OF CDS MARIJUANA UNDER 50 GRAMS,OBSTRUCTING THE ADMINISTRATION OF LAW RESISTING ARREST POSSESSION OF CDS MARIJUANA UNDER 50 GRAMS,1,OBSTRUCTING THE ADMINISTRATION OF LAW RESISTING ARREST POSSESSION OF CDS MARIJUANA UNDER 50 GRAMS,OBSTRUCTING THE ADMINISTRATION OF LAW RESISTING ARREST POSSESSION OF CDS MARIJUANA UNDER 50 GRAMS,OBSTRUCTING THE ADMINISTRATION OF LAW RESISTING ARREST POSSESSION OF CDS MARIJUANA UNDER 50 GRAMS
OBSTRUCTING THE LAW,OBSTRUCTING THE LAW,1,OBSTRUCTING THE LAW,OBSTRUCTING THE LAW,OBSTRUCTING THE LAW
OBSTRUCTING TRAFFIC (MC:395-18),OBSTRUCTING TRAFFIC (MC:395-18),1,OBSTRUCTING TRAFFIC (MC:395-18),OBSTRUCTING TRAFFIC (MC:395-18),OBSTRUCTING TRAFFIC (MC:395-18)
OBSTRUCTING-ADMIN OF LAW/RESISTING ARREST,OBSTRUCTING-ADMIN OF LAW/RESISTING ARREST,1,OBSTRUCTING-ADMIN OF LAW/RESISTING ARREST,OBSTRUCTING-ADMIN OF LAW/RESISTING ARREST,OBSTRUCTING-ADMIN OF LAW/RESISTING ARREST
OBSTRUCTING; ASSAULT ON POLICE; RESISTING,OBSTRUCTING; ASSAULT ON POLICE; RESISTING,1,OBSTRUCTING; ASSAULT ON POLICE; RESISTING,OBSTRUCTING; ASSAULT ON POLICE; RESISTING,OBSTRUCTING; ASSAULT ON POLICE; RESISTING
OBSTRUCTING. SIMPLE ASSAULT/DV,OBSTRUCTING. SIMPLE ASSAULT/DV,1,OBSTRUCTING. SIMPLE ASSAULT/DV,OBSTRUCTING. SIMPLE ASSAULT/DV,OBSTRUCTING. SIMPLE ASSAULT/DV
OBSTRUCTING(2C:29-1A) USE OF CDS (2C:35-10B),OBSTRUCTING(2C:29-1A) USE OF CDS (2C:35-10B),1,OBSTRUCTING(2C:29-1A) USE OF CDS (2C:35-10B),OBSTRUCTING(2C:29-1A) USE OF CDS (2C:35-10B),OBSTRUCTING(2C:29-1A) USE OF CDS (2C:35-10B)
OBSTRUCTING/AGG ASLT ON POLICE/RESIST ARREST,OBSTRUCTING/AGG ASLT ON POLICE/RESIST ARREST,1,OBSTRUCTING/AGG ASLT ON POLICE/RESIST ARREST,OBSTRUCTING/AGG ASLT ON POLICE/RESIST ARREST,OBSTRUCTING/AGG ASLT ON POLICE/RESIST ARREST
OBSTRUCTING/AGG. ASSAULT/RESISTING ARREST,OBSTRUCTING/AGG. ASSAULT/RESISTING ARREST,1,OBSTRUCTING/AGG. ASSAULT/RESISTING ARREST,OBSTRUCTING/AGG. ASSAULT/RESISTING ARREST,OBSTRUCTING/AGG. ASSAULT/RESISTING ARREST
OBSTRUCTING/CURFEW,OBSTRUCTING/CURFEW,1,OBSTRUCTING/CURFEW,OBSTRUCTING/CURFEW,OBSTRUCTING/CURFEW
OBSTRUCTING/RESISTING ARREST AGG ASSAULT,OBSTRUCTING/RESISTING ARREST AGG ASSAULT,1,OBSTRUCTING/RESISTING ARREST AGG ASSAULT,OBSTRUCTING/RESISTING ARREST AGG ASSAULT,OBSTRUCTING/RESISTING ARREST AGG ASSAULT
OBSTRUCTING/RESISTING ARREST AGG ASSAULT/VIC. OF CITY ORD,OBSTRUCTING/RESISTING ARREST AGG ASSAULT/VIC. OF CITY ORD,1,OBSTRUCTING/RESISTING ARREST AGG ASSAULT/VIC. OF CITY ORD,OBSTRUCTING/RESISTING ARREST AGG ASSAULT/VIC. OF CITY ORD,OBSTRUCTING/RESISTING ARREST AGG ASSAULT/VIC. OF CITY ORD
OBSTRUCTING/RESISTING BY FLIGHT POSS ILLEGIBLE,OBSTRUCTING/RESISTING BY FLIGHT POSS ILLEGIBLE,1,OBSTRUCTING/RESISTING BY FLIGHT POSS ILLEGIBLE,OBSTRUCTING/RESISTING BY FLIGHT POSS ILLEGIBLE,OBSTRUCTING/RESISTING BY FLIGHT POSS ILLEGIBLE
OBSTRUCTING/RESISTING/ POSSESSION OF WEAPON,OBSTRUCTING/RESISTING/ POSSESSION OF WEAPON,1,OBSTRUCTING/RESISTING/ POSSESSION OF WEAPON,OBSTRUCTING/RESISTING/ POSSESSION OF WEAPON,OBSTRUCTING/RESISTING/ POSSESSION OF WEAPON
OBSTRUCTINGS / RESISTING ARREST,OBSTRUCTINGS / RESISTING ARREST,1,OBSTRUCTINGS / RESISTING ARREST,OBSTRUCTINGS / RESISTING ARREST,OBSTRUCTINGS / RESISTING ARREST
OBSTRUCTIO,OBSTRUCTIO,1,OBSTRUCTIO,OBSTRUCTIO,OBSTRUCTIO
OBSTRUCTION (2),OBSTRUCTION (2),1,OBSTRUCTION (2),OBSTRUCTION,OBSTRUCTION
OBSTRUCTING (2C:29-1),OBSTRUCTING (2C:29-1),1,OBSTRUCTING (2C:29-1),OBSTRUCTION,OBSTRUCTION
(OBSTRUCTION,OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29:1B,2C:29-1B,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C29-1A,2C:29-1(A),1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:291A OBSTRUCTION,2C:29-1(A) OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
OBSTRUCTION; 2C:29-1A,2C:29-1(A) OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
(2C:29-1B),2C:29-1B,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29:ILLEGIBLE,2C:29 ILLEGIBLE,1,2C:29 ILLEGIBLE,2C:29 ILLEGIBLE,OBSTRUCTION
"2C:29-1A ""OBSTRUCTION""",2C:29-1(A) OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:291,2C:29-1,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29(1),2C:29-1,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
OBSTRUCTION -2C:29-1A,2C:29-1(A) OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:291B,2C:29-1B,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
OBSTRUCTION (2C:29-1A),2C:29-1(A) OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29-1.A.,2C:29-1(A),1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29-(1A),2C:29-1(A),1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29-1A - OBSTRUCTING ADMIN OF LAW OR OTHER GOV'T FUNCTION,2C:29-1A - OBSTRUCTING ADMIN OF LAW OR OTHER GOV'T FUNCTION,1,2C:29-1A - OBSTRUCTING ADMIN OF LAW OR OTHER GOV'T FUNCTION,OBSTRUCTION,OBSTRUCTION
2C:29-1-OBSTRUCTION,2C:29-1 OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29-1A OBSTRUCTING ADMIN OF LAW OR OTHER GOV'T FUNCTION,2C:29-1A OBSTRUCTING ADMIN OF LAW OR OTHER GOV'T FUNCTION,1,2C:29-1A OBSTRUCTING ADMIN OF LAW OR OTHER GOV'T FUNCTION,OBSTRUCTION,OBSTRUCTION
OBSTRUCTION OF JUSTICE 2C:29-1,2C:29-1 OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
(OBSTRUCTION),OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29.1A,2C:29-1(A),1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29-1A ,2C:29-1(A),1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29-1 - OBSTRUCTING ADMIN OF LAW OR OTHER GOV'T FUNCTION,2C:29-1 OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
1-OBSTRUCTION,1-OBSTRUCTION,1,1-OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
OBSTRUCT ADMIN OF LAW (2C:29-1A),2C:29-1(A) OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C-29-1(A),2C:29-1(A),1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29-1 (OBSTRUCTION OF JUSTICE),2C:29-1 OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
OBSTRUCT ADMIN OF LAW 2C:29-1A,2C:29-1(A) OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
OBSTRUCT ADMIN OF LAW | 2C:29-1A,2C:29-1(A) OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
/2C:29-1A,2C:29-1(A),1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
(2C:29-1A),2C:29-1(A),1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C.29-1,2C:29-1,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
47/ OBSTRUCTION,47/ OBSTRUCTION,1,47/ OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C29-1,2C:29-1,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29-1- OBSTRUCTING ADMIN OF LAW OR OTHER GOV'T FUNCTION,2C:29-1 OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
OBSTRUCTION OF JUSTICE (2C:29-1),2C:29-1 OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29-(1),2C:29-1,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29-1(OBSTRUCTION),2C:29-1 OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
& 2C:29-1,2C:29-1,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29-1 - OBSTRUCTION,2C:29-1 OBSTRUCTION,1,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
OBSTRUCTION - FORCE,OBSTRUCTION - FORCE,1,OBSTRUCTION - FORCE,OBSTRUCTION - FORCE,OBSTRUCTION - FORCE
OBSTRUCTION (2C:29-1(/RESISTING (2C:29-2),OBSTRUCTION (2C:29-1(/RESISTING (2C:29-2),1,OBSTRUCTION (2C:29-1(/RESISTING (2C:29-2),OBSTRUCTION (2C:29-1(/RESISTING (2C:29-2),OBSTRUCTION (2C:29-1(/RESISTING (2C:29-2)
OBSTRUCTION (ALREADY ILLEGIBLE),OBSTRUCTION (ALREADY ILLEGIBLE),1,OBSTRUCTION (ALREADY ILLEGIBLE),OBSTRUCTION (ALREADY ILLEGIBLE),OBSTRUCTION (ALREADY ILLEGIBLE)
OBSTRUCTION (PREVIOUSLY IN-CUSTODY),OBSTRUCTION (PREVIOUSLY IN-CUSTODY),1,OBSTRUCTION (PREVIOUSLY IN-CUSTODY),OBSTRUCTION (PREVIOUSLY IN-CUSTODY),OBSTRUCTION (PREVIOUSLY IN-CUSTODY)
OBSTRUCTION / AGG ASSAULT PO,OBSTRUCTION / AGG ASSAULT PO,1,OBSTRUCTION / AGG ASSAULT PO,OBSTRUCTION / AGG ASSAULT PO,OBSTRUCTION / AGG ASSAULT PO
OBSTRUCTION / HARASS RESIST ARREST,OBSTRUCTION / HARASS RESIST ARREST,1,OBSTRUCTION / HARASS RESIST ARREST,OBSTRUCTION / HARASS RESIST ARREST,OBSTRUCTION / HARASS RESIST ARREST
OBSTRUCTION / MV OFFENSES,OBSTRUCTION / MV OFFENSES,1,OBSTRUCTION / MV OFFENSES,OBSTRUCTION / MV OFFENSES,OBSTRUCTION / MV OFFENSES
OBSTRUCTION / POSS FIREARM,OBSTRUCTION / POSS FIREARM,1,OBSTRUCTION / POSS FIREARM,OBSTRUCTION / POSS FIREARM,OBSTRUCTION / POSS FIREARM
OBSTRUCTION / POSS.CDS / RESISTING,OBSTRUCTION / POSS.CDS / RESISTING,1,OBSTRUCTION / POSS.CDS / RESISTING,OBSTRUCTION / POSS.CDS / RESISTING,OBSTRUCTION / POSS.CDS / RESISTING
OBSTRUCTION / RESISTING / ASSAULT ON PO,OBSTRUCTION / RESISTING / ASSAULT ON PO,1,OBSTRUCTION / RESISTING / ASSAULT ON PO,OBSTRUCTION / RESISTING / ASSAULT ON PO,OBSTRUCTION / RESISTING / ASSAULT ON PO
OBSTRUCTION / RESISTING / BURG TO M.V / AGG ASST ON P.O.,OBSTRUCTION / RESISTING / BURG TO M.V / AGG ASST ON P.O.,1,OBSTRUCTION / RESISTING / BURG TO M.V / AGG ASST ON P.O.,OBSTRUCTION / RESISTING / BURG TO M.V / AGG ASST ON P.O.,OBSTRUCTION / RESISTING / BURG TO M.V / AGG ASST ON P.O.
OBSTRUCTION / RESISTING / HARASSMENT,OBSTRUCTION / RESISTING / HARASSMENT,1,OBSTRUCTION / RESISTING / HARASSMENT,OBSTRUCTION / RESISTING / HARASSMENT,OBSTRUCTION / RESISTING / HARASSMENT
OBSTRUCTION / RESISTING / ILLEGIBLE LEO,OBSTRUCTION / RESISTING / ILLEGIBLE LEO,1,OBSTRUCTION / RESISTING / ILLEGIBLE LEO,OBSTRUCTION / RESISTING / ILLEGIBLE LEO,OBSTRUCTION / RESISTING / ILLEGIBLE LEO
OBSTRUCTION / RESISTING / TAMPERING,OBSTRUCTION / RESISTING / TAMPERING,1,OBSTRUCTION / RESISTING / TAMPERING,OBSTRUCTION / RESISTING / TAMPERING,OBSTRUCTION / RESISTING / TAMPERING
OBSTRUCTION / RESISTING ARREST BY FLIGHT,OBSTRUCTION / RESISTING ARREST BY FLIGHT,1,OBSTRUCTION / RESISTING ARREST BY FLIGHT,OBSTRUCTION / RESISTING ARREST BY FLIGHT,OBSTRUCTION / RESISTING ARREST BY FLIGHT
OBSTRUCTION / RESISTING BY FLIGHT,OBSTRUCTION / RESISTING BY FLIGHT,1,OBSTRUCTION / RESISTING BY FLIGHT,OBSTRUCTION / RESISTING BY FLIGHT,OBSTRUCTION / RESISTING BY FLIGHT
OBSTRUCTION / RESISTING DWI,OBSTRUCTION / RESISTING DWI,1,OBSTRUCTION / RESISTING DWI,OBSTRUCTION / RESISTING DWI,OBSTRUCTION / RESISTING DWI
OBSTRUCTION / WARRANTS,OBSTRUCTION / WARRANTS,1,OBSTRUCTION / WARRANTS,OBSTRUCTION / WARRANTS,OBSTRUCTION / WARRANTS
OBSTRUCTION /RESISTING ARREST /DWI,OBSTRUCTION /RESISTING ARREST /DWI,1,OBSTRUCTION /RESISTING ARREST /DWI,OBSTRUCTION /RESISTING ARREST /DWI,OBSTRUCTION /RESISTING ARREST /DWI
OBSTRUCTION /RESISTING/LOITERING TO COMMIT CDS OF OFFENCE,OBSTRUCTION /RESISTING/LOITERING TO COMMIT CDS OF OFFENCE,1,OBSTRUCTION /RESISTING/LOITERING TO COMMIT CDS OF OFFENCE,OBSTRUCTION /RESISTING/LOITERING TO COMMIT CDS OF OFFENCE,OBSTRUCTION /RESISTING/LOITERING TO COMMIT CDS OF OFFENCE
OBSTRUCTION /RESISTING/POSS,OBSTRUCTION /RESISTING/POSS,1,OBSTRUCTION /RESISTING/POSS,OBSTRUCTION /RESISTING/POSS,OBSTRUCTION /RESISTING/POSS
OBSTRUCTION & ASSAULTING POLICE,OBSTRUCTION & ASSAULTING POLICE,1,OBSTRUCTION & ASSAULTING POLICE,OBSTRUCTION & ASSAULTING POLICE,OBSTRUCTION & ASSAULTING POLICE
2C:33-2 & 2C:29-1,2C:29-1 & 2C:33-2,1,OBSTRUCTION & DISORDERLY CONDUCT,OBSTRUCTION & DISORDERLY CONDUCT,OBSTRUCTION & DISORDERLY CONDUCT
2C:29-1/ 2C:33-2,2C:29-1 & 2C:33-2,1,OBSTRUCTION & DISORDERLY CONDUCT,OBSTRUCTION & DISORDERLY CONDUCT,OBSTRUCTION & DISORDERLY CONDUCT
POSS. CDS / OBSTRUCTION,OBSTRUCTION & POSS CDS,1,OBSTRUCTION & POSS CDS,OBSTRUCTION & POSS CDS,OBSTRUCTION & POSS CDS
POSS CDS OBSTRUCTION,OBSTRUCTION & POSS CDS,1,OBSTRUCTION & POSS CDS,OBSTRUCTION & POSS CDS,OBSTRUCTION & POSS CDS
POSS CDS / OBSTRUCTION,OBSTRUCTION & POSS CDS,1,OBSTRUCTION & POSS CDS,OBSTRUCTION & POSS CDS,OBSTRUCTION & POSS CDS
OBSTRUCTION POSS CDS,OBSTRUCTION & POSS CDS,1,OBSTRUCTION & POSS CDS,OBSTRUCTION & POSS CDS,OBSTRUCTION & POSS CDS
POSS OF CDS: OBSTRUCTION,POSS OF CDS: OBSTRUCTION,1,POSS OF CDS: OBSTRUCTION,OBSTRUCTION & POSSESSION OF CDS,OBSTRUCTION & POSSESSION OF CDS
OBSTRUCTION POSS OF CDS,OBSTRUCTION POSS OF CDS,1,OBSTRUCTION POSS OF CDS,OBSTRUCTION & POSSESSION OF CDS,OBSTRUCTION & POSSESSION OF CDS
POSS OF CDS OBSTRUCTION,POSS OF CDS OBSTRUCTION,1,POSS OF CDS OBSTRUCTION,OBSTRUCTION & POSSESSION OF CDS,OBSTRUCTION & POSSESSION OF CDS
OBSTRUCTION & POSSESSION OF CDS,OBSTRUCTION & POSSESSION OF CDS,1,OBSTRUCTION & POSSESSION OF CDS,OBSTRUCTION & POSSESSION OF CDS,OBSTRUCTION & POSSESSION OF CDS
2C:29-1 2C:29-2A,2C:29-1 & 2C:29-2(A),1,OBSTRUCTION & RESISTING,OBSTRUCTION & RESISTING,OBSTRUCTION & RESISTING
2C:29-1 & 2C:29-2(A),2C:29-1 & 2C:29-2(A),1,OBSTRUCTION & RESISTING,OBSTRUCTION & RESISTING,OBSTRUCTION & RESISTING
2C:29-1 / 2C:29-2(A),2C:29-1 & 2C:29-2(A),1,OBSTRUCTION & RESISTING,OBSTRUCTION & RESISTING,OBSTRUCTION & RESISTING
2C:29-2A/ 2C:29-1,2C:29-1 & 2C:29-2(A),1,OBSTRUCTION & RESISTING,OBSTRUCTION & RESISTING,OBSTRUCTION & RESISTING
2C:29-1 & 2C:29-2.A,2C:29-1 & 2C:29-2(A),1,OBSTRUCTION & RESISTING,OBSTRUCTION & RESISTING,OBSTRUCTION & RESISTING
2C:29-2A(2) / 2C:29-1A / 2C:29-1A,2C:29-1(A) & 2C:29-2A(2),1,2C:29-1(A) & 2C:29-2A(2),OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
OBSTRUCTION OF JUSTICE & RESISTING ARREST,OBSTRUCTION & RESISTING,1,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
2C:29-2A(1) & 2C:29-1A,2C:29-1(A) & 2C:29-2A(1),1,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
OBSTRUCTION /RESISTING ARREST,OBSTRUCTION & RESISTING,1,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
OBST / RESISTING,OBSTRUCTION & RESISTING,1,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
RESISTING ARREST: OBSTRUCTION OF JUSTICE,OBSTRUCTION & RESISTING,1,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
OBSTRUCTING ADMIN. OF LAW RESISTING ARREST,OBSTRUCTION & RESISTING,1,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
RESISTING ARREST OBSTRUCTING,OBSTRUCTION & RESISTING,1,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
2C:29-1A & 29-2A2,2C:29-1A & 29-2A2,1,2C:29-1A & 29-2A2,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
